uf_mun_x,total,AFR,ASI,EST,FRC,GER,GRE,IBR,ITA,JEW,MUS,NOR,RUS
SC_MORRO DA FUMACA,20508,0.5998,1.8919,0.2731,4.8859,2.7014,0.1024,88.3704,0.4827,0.039,0.4486,0.1414,0.0634
SC_MORRO GRANDE,3128,0.4476,4.188,0.2238,9.6547,3.3248,0.0959,80.8184,0.5754,0.0,0.5754,0.0639,0.032
SC_NAVEGANTES,67768,0.4958,1.8622,0.1653,4.6526,4.027,0.1092,87.4985,0.6596,0.0664,0.2833,0.0944,0.0856
SC_NOVA ERECHIM,4709,0.4672,2.9943,0.1699,7.3264,4.3321,0.0637,82.7777,0.9769,0.0212,0.5309,0.2336,0.1062
SC_NOVA ITABERABA,4433,0.3609,2.3912,0.3384,7.8728,3.0905,0.2933,84.277,0.6993,0.0,0.3609,0.203,0.1128
SC_NOVA TRENTO,13181,0.4324,1.8208,0.3945,6.7521,5.7279,0.2048,82.8389,1.0394,0.0835,0.3414,0.1897,0.1745
SC_NOVA VENEZA,13888,0.4608,2.2393,0.3096,6.07,4.9539,0.0432,84.6846,0.5832,0.0144,0.504,0.0648,0.072
SC_NOVO HORIZONTE,2931,0.4435,2.7977,0.1365,6.9601,2.9683,0.1706,84.8516,0.8871,0.0,0.6482,0.0682,0.0682
SC_ORLEANS,25437,0.7902,3.318,0.1926,5.7397,4.8905,0.1848,83.5515,0.6408,0.0432,0.4403,0.0511,0.1573
SC_OTACILIO COSTA,19785,0.2679,1.2686,0.0859,3.5583,6.419,0.0505,87.6826,0.369,0.0202,0.1617,0.0859,0.0303
SC_OURO,8544,0.3394,2.2823,0.1756,6.0627,4.2954,0.2458,84.8783,0.8076,0.0351,0.5618,0.1639,0.1522
SC_OURO VERDE,2128,0.4699,1.3158,0.141,6.532,2.2556,0.188,87.594,0.9398,0.0,0.4229,0.094,0.047
SC_PAIAL,1533,0.3914,1.9569,0.0652,5.349,7.8278,0.1305,82.3875,0.7828,0.0,0.1957,0.5871,0.3262
