uf_mun_x,total,AFR,ASI,EST,FRC,GER,GRE,IBR,ITA,JEW,MUS,NOR,RUS
SC_ARAQUARI,24708,0.3319,1.7929,0.2266,3.1609,9.1226,0.1133,84.6608,0.2347,0.0121,0.1578,0.17,0.0162
SC_ARARANGUA,54404,0.5588,0.9025,0.1709,4.2589,3.4556,0.0496,90.0044,0.2242,0.0331,0.2059,0.1084,0.0276
SC_ARMAZEM,9334,0.4714,1.5427,0.1393,2.2284,10.4457,0.0214,84.3154,0.0857,0.0107,0.675,0.0643,0.0
SC_ARROIO TRINTA,4220,0.9953,4.218,0.2844,15.6635,5.0711,0.6398,71.8483,0.9479,0.0,0.2607,0.0,0.0711
SC_ARVOREDO,2234,0.6714,5.9087,0.2686,11.1012,6.7144,0.0,74.7538,0.3133,0.0,0.1791,0.0895,0.0
SC_ASCURRA,9048,0.7405,2.5088,0.2984,5.9682,15.6499,0.0442,73.5411,0.5747,0.0553,0.1658,0.4531,0.0
SC_ATALANTA,4179,1.2682,3.5654,0.1675,5.3362,26.681,0.0,61.6894,0.5743,0.1675,0.0957,0.4547,0.0
SC_AURORA,6629,1.6443,3.4545,0.0603,5.6871,34.4094,0.1056,52.7229,0.7241,0.2112,0.5431,0.4375,0.0
SC_BALNEARIO ARROIO DO SILVA,10180,0.7171,1.0707,0.0884,4.499,4.8919,0.0295,88.2122,0.2652,0.0098,0.1179,0.0982,0.0
SC_BALNEARIO BARRA DO SUL,8690,0.3567,1.9102,0.3682,3.4407,12.5432,0.1841,80.3682,0.3797,0.0,0.1496,0.2186,0.0806
SC_BALNEARIO CAMBORIU,131449,0.5515,2.0898,0.3804,5.2294,10.4375,0.121,80.0561,0.3309,0.038,0.5097,0.2008,0.0548
SC_BALNEARIO GAIVOTA,8841,0.3733,0.9388,0.1923,2.7712,3.2689,0.0226,91.8448,0.1584,0.0,0.1131,0.3054,0.0113
SC_BALNEARIO PICARRAS,14917,0.4492,1.4547,0.3285,3.6871,10.2903,0.1006,82.8585,0.3017,0.0134,0.3285,0.1676,0.0201
SC_BALNEARIO RINCAO,1385,0.2888,1.2996,0.0,3.7545,3.0325,0.0722,91.4801,0.0,0.0722,0.0,0.0,0.0
